THA,The Thai Red Cross Society,urn:oid:2.49.1.162
TTO,The Trinidad and Tobago Red Cross Society,urn:oid:2.49.1.167
UGA,The Uganda Red Cross Society,urn:oid:2.49.1.171
TLS,Timor Leste Red Cross Society,urn:oid:2.49.1.165
TGO,Togolese Red Cross,urn:oid:2.49.1.161
TON,Tonga Red Cross Society,urn:oid:2.49.1.166
TUN,Tunisian Red Crescent,urn:oid:2.49.1.168
TUR,Turkish Red Crescent Society,urn:oid:2.49.1.169
UKR,Ukrainian Red Cross Society,urn:oid:2.49.1.172
URY,Uruguayan Red Cross,urn:oid:2.49.1.173
VUT,Vanuatu Red Cross Society,urn:oid:2.49.1.179
VEN,Venezuelan Red Cross,urn:oid:2.49.1.177
YEM,Yemen Red Crescent Society,urn:oid:2.49.1.181
ZMB,Zambia Red Cross Society,urn:oid:2.49.1.184
ZWE,Zimbabwe Red Cross Society,urn:oid:2.49.1.185
